"","X","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Embarked","Title"
"1",0,0,3,1,22,1,0,523,7.25,2,2
"2",1,1,1,0,38,1,0,596,71.2833,0,3
"3",2,1,3,0,26,0,0,669,7.925,2,1
"4",3,1,1,0,35,1,0,49,53.1,2,3
"5",4,0,3,1,35,0,0,472,8.05,2,2
"6",5,0,3,1,19,0,0,275,8.4583,1,2
"7",6,0,1,1,54,0,0,85,51.8625,2,2
"8",7,0,3,1,2,3,1,395,21.075,2,0
"9",8,1,3,0,27,0,2,344,11.1333,2,3
"10",9,1,2,0,14,1,0,132,30.0708,0,3
"11",10,1,3,0,4,1,1,616,16.7,2,1
"12",11,1,1,0,58,0,0,38,26.55,2,1
"13",12,0,3,1,20,0,0,535,8.05,2,2
"14",13,0,3,1,39,1,5,333,31.275,2,2
"15",14,0,3,0,14,0,0,413,7.8542,2,1
"16",15,1,2,0,55,0,0,153,16,2,3
"17",16,0,3,1,2,4,1,480,29.125,1,0
"18",17,1,2,1,25,0,0,151,13,2,2
"19",18,0,3,0,31,1,0,301,18,2,3
"20",19,1,3,0,25,0,0,184,7.225,0,3
"21",20,0,2,1,35,0,0,139,26,2,2
"22",21,1,2,1,34,0,0,152,13,2,2
"23",22,1,3,0,15,0,0,278,8.0292,1,1
"24",23,1,1,1,28,0,0,42,35.5,2,2
"25",24,0,3,0,8,3,1,395,21.075,2,1
"26",25,1,3,0,38,1,5,329,31.3875,2,3
"27",26,0,3,1,24,0,0,179,7.225,0,2
"28",27,0,1,1,19,3,2,95,263,2,2
"29",28,1,3,0,41,0,0,283,7.8792,1,1
"30",29,0,3,1,54,0,0,362,7.8958,2,2
"31",30,0,1,1,40,0,0,598,27.7208,0,5
"32",31,1,1,0,15,1,0,586,146.5208,0,3
"33",32,1,3,0,52,0,0,288,7.75,1,1
"34",33,0,2,1,66,0,0,549,10.5,2,2
"35",34,0,1,1,28,1,0,600,82.1708,0,2
"36",35,0,1,1,42,1,0,43,52,2,2
"37",36,1,3,1,22,0,0,202,7.2292,0,2
"38",37,0,3,1,21,0,0,514,8.05,2,2
"39",38,0,3,0,18,2,0,302,18,2,1
"40",39,1,3,0,14,1,0,186,11.2417,0,1
"41",40,0,3,0,40,1,0,507,9.475,2,3
"42",41,0,2,0,27,1,0,53,21,2,3
"43",42,0,3,1,45,0,0,391,7.8958,0,2
"44",43,1,2,0,3,1,2,634,41.5792,0,1
"45",44,1,3,0,19,0,0,282,7.8792,1,1
"46",45,0,3,1,24,0,0,617,8.05,2,2
"47",46,0,3,1,40,1,0,462,15.5,1,2
"48",47,1,3,0,30,0,0,76,7.75,1,1
"49",48,0,3,1,24,2,0,190,21.6792,0,2
"50",49,0,3,0,18,1,0,377,17.8,2,3
"51",50,0,3,1,7,4,1,249,39.6875,2,0
"52",51,0,3,1,21,0,0,522,7.8,2,2
"53",52,1,1,0,49,1,0,587,76.7292,0,3
"54",53,1,2,0,29,1,0,239,26,2,3
"55",54,0,1,1,65,0,1,29,61.9792,0,2
"56",55,1,1,1,32,0,0,94,35.5,2,2
"57",56,1,2,0,21,0,0,555,10.5,2,1
"58",57,0,3,1,28.5,0,0,215,7.2292,0,2
"59",58,1,2,0,5,1,2,561,27.75,2,1
"60",59,0,3,1,11,5,2,566,46.9,2,0
"61",60,0,3,1,22,0,0,197,7.2292,0,2
"62",61,1,1,0,38,0,0,32,80,2,1
"63",62,0,1,1,45,1,0,457,83.475,2,2
"64",63,0,3,1,4,3,2,337,27.9,2,0
"65",64,0,1,1,33,0,0,601,27.7208,0,2
"66",65,1,3,1,22,1,1,189,15.2458,0,0
"67",66,1,2,0,29,0,0,553,10.5,2,3
"68",67,0,3,1,19,0,0,623,8.1583,2,2
"69",68,1,3,0,17,4,2,248,7.925,2,1
"70",69,0,3,1,26,2,0,270,8.6625,2,2
"71",70,0,2,1,32,0,0,557,10.5,2,2
"72",71,0,3,0,16,5,2,566,46.9,2,1
"73",72,0,2,1,21,0,0,621,73.5,2,2
"74",73,0,3,1,26,1,0,204,14.4542,0,2
"75",74,1,3,1,32,0,0,80,56.4958,2,2
"76",75,0,3,1,25,0,0,347,7.65,2,2
"77",76,0,3,1,22,0,0,355,7.8958,2,2
"78",77,0,3,1,51,0,0,473,8.05,2,2
"79",78,1,2,1,0.83,0,2,158,29,2,0
"80",79,1,3,0,30,0,0,432,12.475,2,1
"81",80,0,3,1,22,0,0,304,9,2,2
"82",81,1,3,1,29,0,0,311,9.5,2,2
"83",82,1,3,0,9,0,0,280,7.7875,1,1
"84",83,0,1,1,28,0,0,25,47.1,2,2
"85",84,1,2,0,17,0,0,637,10.5,2,1
"86",85,1,3,0,33,3,0,247,15.85,2,3
"87",86,0,3,1,16,1,3,676,34.375,2,2
"88",87,0,3,1,36,0,0,652,8.05,2,2
"89",88,1,1,0,23,3,2,95,263,2,1
"90",89,0,3,1,24,0,0,297,8.05,2,2
"91",90,0,3,1,29,0,0,298,8.05,2,2
"92",91,0,3,1,20,0,0,341,7.8542,2,2
"93",92,0,1,1,46,1,0,678,61.175,2,2
"94",93,0,3,1,26,1,2,548,20.575,2,2
"95",94,0,3,1,59,0,0,428,7.25,2,2
"96",95,0,3,1,38,0,0,475,8.05,2,2
"97",96,0,1,1,71,0,0,607,34.6542,0,2
"98",97,1,1,1,23,0,1,612,63.3583,0,2
"99",98,1,2,0,34,0,1,117,23,2,3
"100",99,0,2,1,34,1,0,150,26,2,2
"101",100,0,3,0,28,0,0,384,7.8958,2,1
"102",101,0,3,1,33,0,0,361,7.8958,2,2
"103",102,0,1,1,21,0,1,417,77.2875,2,2
"104",103,0,3,1,33,0,0,505,8.6542,2,2
"105",104,0,3,1,37,2,0,245,7.925,2,2
"106",105,0,3,1,28,0,0,354,7.8958,2,2
"107",106,1,3,0,21,0,0,296,7.65,2,1
"108",107,1,3,1,55.5,0,0,254,7.775,2,2
"109",108,0,3,1,38,0,0,388,7.8958,2,2
"110",109,1,3,0,25,1,0,469,24.15,1,1
"111",110,0,1,1,47,0,0,2,52,2,2
"112",111,0,3,0,14.5,1,0,193,14.4542,0,1
"113",112,0,3,1,22,0,0,274,8.05,2,2
"114",113,0,3,0,20,1,0,491,9.825,2,1
"115",114,0,3,0,17,0,0,176,14.4583,0,1
"116",115,0,3,1,21,0,0,666,7.925,2,2
"117",116,0,3,1,70.5,0,0,460,7.75,1,2
"118",117,0,2,1,29,1,0,53,21,2,2
"119",118,0,1,1,24,0,1,585,247.5208,0,2
"120",119,0,3,0,2,4,2,333,31.275,2,1
"121",120,0,2,1,21,2,0,621,73.5,2,2
"122",121,0,3,1,45,0,0,540,8.05,2,2
"123",122,0,2,1,32.5,1,0,132,30.0708,0,2
"124",123,1,2,0,32.5,0,0,219,13,2,1
"125",124,0,1,1,54,0,1,417,77.2875,2,2
"126",125,1,3,1,12,1,0,186,11.2417,0,0
"127",126,0,3,1,34,0,0,463,7.75,1,2
"128",127,1,3,1,24,0,0,541,7.1417,2,2
"129",128,1,3,0,16,1,1,196,22.3583,0,1
"130",129,0,3,1,45,0,0,318,6.975,2,2
"131",130,0,3,1,33,0,0,380,7.8958,0,2
"132",131,0,3,1,20,0,0,640,7.05,2,2
"133",132,0,3,0,47,1,0,537,14.5,2,3
"134",133,1,2,0,29,1,0,111,26,2,3
"135",134,0,2,1,25,0,0,552,13,2,2
"136",135,0,2,1,23,0,0,630,15.0458,0,2
"137",136,1,1,0,19,0,2,55,26.2833,2,1
"138",137,0,1,1,37,1,0,49,53.1,2,2
"139",138,0,3,1,16,0,0,504,9.2167,2,2
"140",139,0,1,1,24,0,0,592,79.2,0,2
"141",140,0,3,0,14,0,2,203,15.2458,0,3
"142",141,1,3,0,22,0,0,332,7.75,2,1
"143",142,1,3,0,24,1,0,668,15.85,2,3
"144",143,0,3,1,19,0,0,438,6.75,1,2
"145",144,0,2,1,18,0,0,118,11.5,2,2
"146",145,0,2,1,19,1,1,558,36.75,2,2
"147",146,1,3,1,27,0,0,405,7.7958,2,2
"148",147,0,3,0,9,2,2,676,34.375,2,1
"149",148,0,2,1,36.5,0,2,113,26,2,2
"150",149,0,2,1,42,0,0,147,13,2,5
"151",150,0,2,1,51,0,0,622,12.525,2,5
"152",151,1,1,0,22,1,0,36,66.6,2,3
"153",152,0,3,1,55.5,0,0,516,8.05,2,2
"154",153,0,3,1,40.5,0,2,538,14.5,2,2
"155",154,0,3,1,19,0,0,573,7.3125,2,2
"156",155,0,1,1,51,0,1,595,61.3792,0,2
"157",156,1,3,0,16,0,0,418,7.7333,1,1
"158",157,0,3,1,30,0,0,654,8.05,2,2
"159",158,0,3,1,31,0,0,258,8.6625,2,2
"160",159,0,3,1,10,8,2,568,69.55,2,0
"161",160,0,3,1,44,0,1,470,16.1,2,2
"162",161,1,2,0,40,0,0,559,15.75,2,3
"163",162,0,3,1,26,0,0,323,7.775,2,2
"164",163,0,3,1,17,0,0,265,8.6625,2,2
"165",164,0,3,1,1,4,1,249,39.6875,2,0
"166",165,1,3,1,9,0,2,423,20.525,2,0
"167",166,1,1,0,20,0,1,28,55,2,3
"168",167,0,3,0,45,1,4,337,27.9,2,3
"169",168,0,1,1,40,0,0,576,25.925,2,2
"170",169,0,3,1,28,0,0,80,56.4958,2,2
"171",170,0,1,1,61,0,0,5,33.5,2,2
"172",171,0,3,1,4,4,1,480,29.125,1,0
"173",172,1,3,0,1,1,1,344,11.1333,2,1
"174",173,0,3,1,21,0,0,659,7.925,2,2
"175",174,0,1,1,56,0,0,90,30.6958,0,2
"176",175,0,3,1,18,1,1,412,7.8542,2,2
"177",176,0,3,1,50,3,1,488,25.4667,2,0
"178",177,0,1,0,50,0,0,593,28.7125,0,1
"179",178,0,2,1,30,0,0,169,13,2,2
"180",179,0,3,1,36,0,0,574,0,2,2
"181",180,0,3,0,30.5,8,2,568,69.55,2,1
"182",181,0,2,1,19,0,0,629,15.05,0,2
"183",182,0,3,1,9,4,2,329,31.3875,2,0
"184",183,1,2,1,1,2,1,114,39,2,0
"185",184,1,3,0,4,0,2,271,22.025,2,1
"186",185,0,1,1,28,0,0,34,50,2,2
"187",186,1,3,0,54,1,0,459,15.5,1,3
"188",187,1,1,1,45,0,0,11,26.55,2,2
"189",188,0,3,1,40,1,1,435,15.5,1,2
"190",189,0,3,1,36,0,0,386,7.8958,2,2
"191",190,1,2,0,32,0,0,122,13,2,3
"192",191,0,2,1,19,0,0,227,13,2,2
"193",192,1,3,0,19,1,0,406,7.8542,2,1
"194",193,1,2,1,3,1,1,113,26,2,0
"195",194,1,1,0,44,0,0,604,27.7208,0,3
"196",195,1,1,0,58,0,0,586,146.5208,0,1
"197",196,0,3,1,17,0,0,452,7.75,1,2
"198",197,0,3,1,42,0,1,494,8.4042,2,2
"199",198,1,3,0,20,0,0,461,7.75,1,1
"200",199,0,2,0,24,0,0,160,13,2,1
"201",200,0,3,1,28,0,0,306,9.5,2,2
"202",201,0,3,1,44,8,2,568,69.55,2,2
"203",202,0,3,1,34,0,0,242,6.4958,2,2
"204",203,0,3,1,45.5,0,0,177,7.225,0,2
"205",204,1,3,1,18,0,0,530,8.05,2,2
"206",205,0,3,0,2,0,1,316,10.4625,2,1
"207",206,0,3,1,32,1,0,247,15.85,2,2
"208",207,1,3,1,26,0,0,216,18.7875,0,2
"209",208,1,3,0,16,0,0,445,7.75,1,1
"210",209,1,1,1,40,0,0,17,31,0,2
"211",210,0,3,1,24,0,0,642,7.05,2,2
"212",211,1,2,0,35,0,0,570,21,2,1
"213",212,0,3,1,22,0,0,526,7.25,2,2
"214",213,0,2,1,30,0,0,163,13,2,2
"215",214,0,3,1,27,1,0,443,7.75,1,2
"216",215,1,1,0,31,1,0,416,113.275,0,1
"217",216,1,3,0,27,0,0,670,7.925,2,1
"218",217,0,2,1,42,1,0,142,27,2,2
"219",218,1,1,0,32,0,0,63,76.2917,0,1
"220",219,0,2,1,30,0,0,679,10.5,2,2
"221",220,1,3,1,16,0,0,653,8.05,2,2
"222",221,0,2,1,27,0,0,105,13,2,2
"223",222,0,3,1,51,0,0,102,8.05,2,2
"224",223,0,3,1,19,0,0,375,7.8958,2,2
"225",224,1,1,1,38,1,0,93,90,2,2
"226",225,0,3,1,22,0,0,615,9.35,2,2
"227",226,1,2,1,19,0,0,672,10.5,2,2
"228",227,0,3,1,20.5,0,0,525,7.25,2,2
"229",228,0,2,1,18,0,0,125,13,2,2
"230",229,0,3,0,30,3,1,488,25.4667,2,1
"231",230,1,1,0,35,1,0,457,83.475,2,3
"232",231,0,3,1,29,0,0,322,7.775,2,2
"233",232,0,2,1,59,0,0,128,13.5,2,2
"234",233,1,3,0,5,4,2,329,31.3875,2,1
"235",234,0,2,1,24,0,0,554,10.5,2,2
"236",235,0,3,0,25,0,0,677,7.55,2,1
"237",236,0,2,1,44,1,0,198,26,2,2
"238",237,1,2,0,8,0,2,556,26.25,2,1
"239",238,0,2,1,19,0,0,231,10.5,2,2
"240",239,0,2,1,33,0,0,636,12.275,2,2
"241",240,0,3,0,33,1,0,193,14.4542,0,1
"242",241,1,3,0,49,1,0,444,15.5,1,1
"243",242,0,2,1,29,0,0,674,10.5,2,2
"244",243,0,3,1,22,0,0,658,7.125,2,2
"245",244,0,3,1,30,0,0,213,7.225,0,2
"246",245,0,1,1,44,2,0,92,90,1,5
"247",246,0,3,0,25,0,0,325,7.775,2,1
"248",247,1,2,0,24,0,2,166,14.5,2,3
"249",248,1,1,1,37,1,1,54,52.5542,2,2
"250",249,0,2,1,54,1,0,144,26,2,5
"251",250,0,3,1,29,0,0,422,7.25,2,2
"252",251,0,3,0,29,1,1,316,10.4625,2,3
"253",252,0,1,1,62,0,0,31,26.55,2,2
"254",253,0,3,1,30,1,0,536,16.1,2,2
"255",254,0,3,0,41,0,2,458,20.2125,2,3
"256",255,1,3,0,29,0,2,185,15.2458,0,3
"257",256,1,1,0,35,0,0,589,79.2,0,3
"258",257,1,1,0,30,0,0,0,86.5,2,1
"259",258,1,1,0,35,0,0,608,512.3292,0,1
"260",259,1,2,0,50,0,1,115,26,2,3
"261",260,0,3,1,32,0,0,482,7.75,1,2
"262",261,1,3,1,3,4,2,329,31.3875,2,0
"263",262,0,1,1,52,1,1,1,79.65,2,2
"264",263,0,1,1,40,0,0,16,0,2,2
"265",264,0,3,0,24,0,0,478,7.75,1,1
"266",265,0,2,1,36,0,0,546,10.5,2,2
"267",266,0,3,1,16,4,1,249,39.6875,2,2
"268",267,1,3,1,25,1,0,334,7.775,2,2
"269",268,1,1,0,58,0,1,588,153.4625,2,3
"270",269,1,1,0,35,0,0,613,135.6333,2,1
"271",270,0,1,1,32,0,0,47,31,2,2
"272",271,1,3,1,25,0,0,574,0,2,2
"273",272,1,2,0,41,0,1,162,19.5,2,3
"274",273,0,1,1,37,0,1,594,29.7,0,2
"275",274,1,3,0,47,0,0,465,7.75,1,1
"276",275,1,1,0,63,1,0,71,77.9583,2,1
"277",276,0,3,0,45,0,0,326,7.75,2,1
"278",277,0,2,1,35,0,0,135,0,2,2
"279",278,0,3,1,7,4,1,480,29.125,1,0
"280",279,1,3,0,35,1,1,551,20.25,2,3
"281",280,0,3,1,65,0,0,290,7.75,1,2
"282",281,0,3,1,28,0,0,340,7.8542,2,2
"283",282,0,3,1,16,0,0,310,9.5,2,2
"284",283,1,3,1,19,0,0,533,8.05,2,2
"285",284,0,1,1,28,0,0,24,26,2,2
"286",285,0,3,1,33,0,0,378,8.6625,0,2
"287",286,1,3,1,30,0,0,308,9.5,2,2
"288",287,0,3,1,22,0,0,353,7.8958,2,2
"289",288,1,2,1,42,0,0,134,13,2,2
"290",289,1,3,0,22,0,0,464,7.75,1,1
"291",290,1,1,0,26,0,0,91,78.85,2,1
"292",291,1,1,0,19,1,0,64,91.0792,0,3
"293",292,0,2,1,36,0,0,635,12.875,0,2
"294",293,0,3,0,24,0,0,376,8.85,2,1
"295",294,0,3,1,24,0,0,374,7.8958,2,2
"296",295,0,1,1,47,0,0,606,27.7208,0,2
"297",296,0,3,1,23.5,0,0,212,7.2292,0,2
"298",297,0,1,0,2,1,2,37,151.55,2,1
"299",298,1,1,1,11,0,0,98,30.5,2,2
"300",299,1,1,0,50,0,1,585,247.5208,0,3
"301",300,1,3,0,26,0,0,513,7.75,1,1
"302",301,1,3,1,18,2,0,441,23.25,1,2
"303",302,0,3,1,19,0,0,574,0,2,2
"304",303,1,2,0,47,0,0,109,12.35,1,1
"305",304,0,3,1,16,0,0,527,8.05,2,2
"306",305,1,1,1,0.92,1,2,37,151.55,2,0
"307",306,1,1,0,19,0,0,83,110.8833,0,1
"308",307,1,1,0,17,1,0,611,108.9,0,3
"309",308,0,2,1,30,1,0,575,24,0,2
"310",309,1,1,0,30,0,0,584,56.9292,0,1
"311",310,1,1,0,24,0,0,59,83.1583,0,1
"312",311,1,1,0,18,2,2,602,262.375,0,1
"313",312,0,2,0,26,1,1,167,26,2,3
"314",313,0,3,1,28,0,0,382,7.8958,2,2
"315",314,0,2,1,43,1,1,571,26.25,2,2
"316",315,1,3,0,26,0,0,343,7.8542,2,1
"317",316,1,2,0,24,1,0,150,26,2,3
"318",317,0,2,1,54,0,0,232,14,2,5
"319",318,1,1,0,31,0,2,453,164.8667,2,1
"320",319,1,1,0,40,1,1,81,134.5,0,3
"321",320,0,3,1,22,0,0,524,7.25,2,2
"322",321,0,3,1,27,0,0,365,7.8958,2,2
"323",322,1,2,0,30,0,0,124,12.35,1,1
"324",323,1,2,0,22,1,1,158,29,2,3
"325",324,0,3,1,54,8,2,568,69.55,2,2
"326",325,1,1,0,36,0,0,613,135.6333,0,1
"327",326,0,3,1,61,0,0,299,6.2375,2,2
"328",327,1,2,0,36,0,0,229,13,2,3
"329",328,1,3,0,31,1,1,423,20.525,2,3
"330",329,1,1,0,16,0,1,7,57.9792,0,1
"331",330,1,3,0,27,2,0,441,23.25,1,1
"332",331,0,1,1,45.5,0,0,20,28.5,2,2
"333",332,0,1,1,38,0,1,588,153.4625,2,2
"334",333,0,3,1,16,2,0,302,18,2,2
"335",334,1,1,0,38,1,0,605,133.65,2,3
"336",335,0,3,1,63,0,0,370,7.8958,2,2
"337",336,0,1,1,29,1,0,36,66.6,2,2
"338",337,1,1,0,41,0,0,81,134.5,0,1
"339",338,1,3,1,45,0,0,510,8.05,2,2
"340",339,0,1,1,45,0,0,39,35.5,2,2
"341",340,1,2,1,2,1,1,113,26,2,0
"342",341,1,1,0,24,3,2,95,263,2,1
"343",342,0,2,1,28,0,0,159,13,2,2
"344",343,0,2,1,25,0,0,149,13,2,2
"345",344,0,2,1,36,0,0,112,13,2,2
"346",345,1,2,0,24,0,0,157,13,2,1
"347",346,1,2,0,40,0,0,257,13,2,1
"348",347,1,3,0,40,1,0,483,16.1,2,3
"349",348,1,3,1,3,1,1,562,15.9,2,0
"350",349,0,3,1,42,0,0,262,8.6625,2,2
"351",350,0,3,1,23,0,0,503,9.225,2,2
"352",351,0,1,1,22,0,0,30,35,2,2
"353",352,0,3,1,15,1,1,214,7.2292,0,2
"354",353,0,3,1,25,1,0,377,17.8,2,2
"355",354,0,3,1,30,0,0,182,7.225,0,2
"356",355,0,3,1,28,0,0,314,9.5,2,2
"357",356,1,1,0,22,0,1,28,55,2,1
"358",357,0,2,0,38,0,0,131,13,2,1
"359",358,1,3,0,34,0,0,279,7.8792,1,1
"360",359,1,3,0,49,0,0,285,7.8792,1,1
"361",360,0,3,1,40,1,4,337,27.9,2,2
"362",361,0,2,1,29,1,0,633,27.7208,0,2
"363",362,0,3,0,45,0,1,211,14.4542,0,3
"364",363,0,3,1,35,0,0,641,7.05,2,2
"365",364,0,3,1,1,1,0,459,15.5,1,2
"366",365,0,3,1,30,0,0,544,7.25,2,2
"367",366,1,1,0,60,1,0,4,75.25,0,3
"368",367,1,3,0,9,0,0,175,7.2292,0,3
"369",368,1,3,0,20.5,0,0,78,7.75,1,1
"370",369,1,1,0,24,0,0,581,69.3,0,3
"371",370,1,1,1,25,1,0,58,55.4417,0,2
"372",371,0,3,1,18,1,0,244,6.4958,2,2
"373",372,0,3,1,19,0,0,273,8.05,2,2
"374",373,0,1,1,22,0,0,613,135.6333,0,2
"375",374,0,3,0,3,3,1,395,21.075,2,1
"376",375,1,1,0,19,1,0,600,82.1708,0,3
"377",376,1,3,0,22,0,0,545,7.25,2,1
"378",377,0,1,1,27,0,2,27,211.5,0,2
"379",378,0,3,1,20,0,0,183,4.0125,0,2
"380",379,0,3,1,19,0,0,324,7.775,2,2
"381",380,1,1,0,42,0,0,610,227.525,0,1
"382",381,1,3,0,1,0,2,187,15.7417,0,1
"383",382,0,3,1,32,0,0,665,7.925,2,2
"384",383,1,1,0,35,1,0,43,52,2,3
"385",384,0,3,1,28,0,0,371,7.8958,2,2
"386",385,0,2,1,18,0,0,621,73.5,2,2
"387",386,0,3,1,1,5,2,566,46.9,2,0
"388",387,1,2,0,36,0,0,220,13,2,1
"389",388,0,3,1,4,0,0,447,7.7292,1,2
"390",389,1,2,0,17,0,0,625,12,0,1
"391",390,1,1,1,36,1,2,33,120,2,2
"392",391,1,3,1,21,0,0,401,7.7958,2,2
"393",392,0,3,1,28,2,0,246,7.925,2,2
"394",393,1,1,0,23,1,0,416,113.275,0,1
"395",394,1,3,0,24,0,2,616,16.7,2,3
"396",395,0,3,1,22,0,0,410,7.7958,2,2
"397",396,0,3,0,31,0,0,414,7.8542,2,1
"398",397,0,2,1,46,0,0,226,26,2,2
"399",398,0,2,1,23,0,0,146,10.5,2,5
"400",399,1,2,0,28,0,0,140,12.65,2,3
"401",400,1,3,1,39,0,0,663,7.925,2,2
"402",401,0,3,1,26,0,0,292,8.05,2,2
"403",402,0,3,0,21,1,0,492,9.825,2,1
"404",403,0,3,1,28,1,0,668,15.85,2,2
"405",404,0,3,0,20,0,0,267,8.6625,2,1
"406",405,0,2,1,34,1,0,230,21,2,2
"407",406,0,3,1,51,0,0,321,7.75,2,2
"408",407,1,2,1,3,1,1,237,18.75,2,0
"409",408,0,3,1,21,0,0,255,7.775,2,2
"410",409,0,3,0,30,3,1,488,25.4667,2,1
"411",410,0,3,1,40,0,0,367,7.8958,2,2
"412",411,0,3,1,27,0,0,487,6.8583,1,2
"413",412,1,1,0,33,1,0,92,90,1,1
"414",413,0,2,1,26,0,0,135,0,2,2
"415",414,1,3,1,44,0,0,655,7.925,2,2
"416",415,0,3,0,24,0,0,295,8.05,2,3
"417",416,1,2,0,34,1,1,224,32.5,2,3
"418",417,1,2,0,18,0,2,168,13,2,1
"419",418,0,2,1,30,0,0,225,13,2,2
"420",419,0,3,0,10,0,2,307,24.15,2,1
"421",420,0,3,1,35,0,0,392,7.8958,0,2
"422",421,0,3,1,21,0,0,534,7.7333,1,2
"423",422,0,3,1,29,0,0,259,7.875,2,2
"424",423,0,3,0,28,1,1,331,14.4,2,3
"425",424,0,3,1,18,1,1,458,20.2125,2,2
"426",425,0,3,1,59,0,0,521,7.25,2,2
"427",426,1,2,0,28,1,0,100,26,2,3
"428",427,1,2,0,19,0,0,170,26,2,1
"429",428,0,3,1,43,0,0,437,7.75,1,2
"430",429,1,3,1,32,0,0,644,8.05,2,2
"431",430,1,1,1,28,0,0,3,26.55,2,2
"432",431,1,3,0,39,1,0,476,16.1,2,3
"433",432,1,2,0,42,1,0,627,26,2,3
"434",433,0,3,1,17,0,0,657,7.125,2,2
"435",434,0,1,1,50,1,0,72,55.9,2,2
"436",435,1,1,0,14,1,2,33,120,2,1
"437",436,0,3,0,21,2,2,676,34.375,2,1
"438",437,1,2,0,24,2,3,237,18.75,2,3
"439",438,0,1,1,64,1,4,95,263,2,2
"440",439,0,2,1,31,0,0,547,10.5,2,2
"441",440,1,2,0,45,1,1,571,26.25,2,3
"442",441,0,3,1,20,0,0,305,9.5,2,2
"443",442,0,3,1,25,1,0,328,7.775,2,2
"444",443,1,2,0,28,0,0,116,13,2,1
"445",444,1,3,1,54,0,0,499,8.1125,2,2
"446",445,1,1,1,4,0,2,289,81.8583,2,0
"447",446,1,2,0,13,0,1,162,19.5,2,1
